Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Jarvis Landry (FA),2016,WR,MIA,16.0,231.3,14.5,131.0,94.0,17.0,4.0,,,,12.0,
Michael Crabtree (FA),2015,WR,LV,16.0,231.2,14.5,146.0,85.0,0.0,9.0,,,,13.0,
Adam Thielen (CAR),2023,WR,CAR,17.0,231.0,13.6,137.0,103.0,6.0,4.0,,,,17.0,
Jordan Matthews (FA),2015,WR,PHI,16.0,230.7,14.4,128.0,85.0,0.0,8.0,,,,15.0,
DJ Moore (CHI),2019,WR,SEA,15.0,230.5,15.4,135.0,87.0,40.0,4.0,,,,8.0,
Odell Beckham Jr. (FA),2018,WR,,12.0,230.4,19.2,124.0,77.0,19.0,6.0,,,,,
Julian Edelman (FA),2016,WR,NE,16.0,230.3,14.4,159.0,98.0,57.0,3.0,,,,20.0,
Evan Engram (DEN),2023,TE,JAX,17.0,230.3,13.5,143.0,114.0,nan,4.0,,,,11.0,
Kareem Hunt (KC),2018,RB,,11.0,230.2,20.9,35.0,26.0,181.0,14.0,,,,36.0,
Jordan Howard (FA),2016,RB,,15.0,230.1,15.3,50.0,29.0,252.0,7.0,,,,40.0,
Calvin Ridley (TEN),2023,WR,JAX,17.0,229.9,13.5,136.0,76.0,23.0,8.0,,,,29.0,
Antonio Gibson (NE),2021,RB,,16.0,229.1,14.3,52.0,42.0,258.0,10.0,,,,55.0,
Terry McLaurin (WAS),2022,WR,WAS,17.0,229.0,13.5,120.0,77.0,29.0,5.0,,,,14.0,
Aaron Jones Sr. (MIN),2021,RB,,15.0,229.0,15.3,65.0,52.0,171.0,10.0,,,,,
Marvin Jones Jr. (FA),2020,WR,,16.0,227.8,14.2,115.0,76.0,0.0,9.0,,,,,
Marvin Jones Jr. (FA),2021,WR,,17.0,227.8,14.2,120.0,73.0,0.0,9.0,,,,,
Brandon Aiyuk (SF),2022,WR,SF,17.0,227.8,13.4,114.0,78.0,23.0,8.0,,,,17.0,
DeVonta Smith (PHI),2023,WR,PHI,16.0,227.6,14.2,112.0,81.0,0.0,7.0,,,,8.0,
Greg Olsen (FA),2015,TE,CAR,16.0,227.4,14.2,124.0,77.0,nan,7.0,,,,21.0,
Rob Gronkowski (FA),2017,TE,NE,14.0,227.4,16.2,105.0,69.0,nan,8.0,,,,27.0,
Leonard Fournette (FA),2022,RB,,16.0,227.1,14.2,83.0,73.0,189.0,6.0,,,,37.0,
Amari Cooper (FA),2023,WR,CLE,15.0,227.0,15.1,128.0,72.0,0.0,5.0,,,,16.0,
A.J. Green (FA),2017,WR,CIN,16.0,226.8,14.2,143.0,75.0,0.0,8.0,,,,16.0,
DK Metcalf (PIT),2022,WR,SEA,17.0,226.8,13.3,141.0,90.0,0.0,6.0,,,,32.0,
Demaryius Thomas (FA),2016,WR,DEN,16.0,226.3,14.1,144.0,90.0,0.0,5.0,,,,22.0,
Josh Jacobs (GB),2021,RB,,15.0,226.0,15.1,64.0,54.0,217.0,9.0,,,,46.0,
